"district","conservativenessRepresentative","republicanRepresentative","blackDistrictPop","districtMedianIncome","districtHS","districtBachelors"
"160","IN.8",0.846,1,4.2,44265,86.1,17.6
"161","IN.9",0.566,1,2.6,45100,85.9,19.6
"162","KS.1",0.571,1,2.3,43533,85.9,20
"163","KS.2",0.663,1,4.7,46347,90.8,27.6
"164","KS.3",-0.231,0,8.6,62693,92.1,44
"165","KS.4",0.559,1,6.8,47295,87.4,25.7
"166","KY.1",0.46,1,6.8,36980,81.2,13.6
"167","KY.2",0.544,1,6,43699,83.6,16.6
"168","KY.3",0.534,1,20.8,45558,87.5,30.8
"169","KY.4",0.552,1,2.8,49619,84.1,22.4
"170","KY.5",0.468,1,1.2,28430,69.6,11.5
"171","KY.6",-0.197,0,8.4,45375,84.7,27.3
"172","LA.1",0.65,1,15.5,51723,86.4,29.6
"173","LA.2",-0.345,0,57.9,38138,79.6,22.9
"174","LA.3",-0.156,0,27.4,46319,76.7,14.1
"175","LA.4",0.523,1,34,39731,83.2,18.1
"176","LA.5",0.523,1,34.7,36952,79.3,16.4
"177","LA.6",0.552,1,35,49145,86.2,27.8
"178","LA.7",0.5,1,25.6,42171,80.5,19.8
"179","MA.1",-0.574,0,2.2,54015,88.6,28.5
"180","MA.10",-0.469,0,2.4,67773,94.1,40.4
"181","MA.2",-0.406,0,6.3,57681,86.5,29.1
"182","MA.3",-0.507,0,4,64733,88,37
"183","MA.4",-0.504,0,3.3,68724,86.6,41.2
"184","MA.5",-0.415,0,2.8,70695,87.8,39.2
"185","MA.6",-0.479,0,3.1,72593,92.5,41
"186","MA.7",-0.51,0,5.5,71862,90.2,44.8
"187","MA.8",-0.548,0,21.9,50246,85,47.6
"188","MA.9",-0.336,0,13.8,71353,91.1,41.1
"189","MD.1",0.418,1,11.4,69584,89.5,32
"190","MD.2",-0.242,0,32.5,57333,85.8,23.7
"191","MD.3",-0.265,0,19.7,71488,88.6,43.2
"192","MD.4",-0.313,0,56.1,73466,88.6,36.1
"193","MD.5",-0.33,0,36.9,85026,89.8,32
"194","MD.6",0.734,1,6.3,69830,89.4,31
"195","MD.7",-0.408,0,56.9,52879,83.8,34.2
"196","MD.8",-0.355,0,17.2,89303,88.2,55.1
"197","ME.1",-0.356,0,1.4,53333,92.1,31.9
"198","ME.2",-0.297,0,0.7,40966,88.5,21.6
"199","MI.1",-0.384,0,1.2,40444,89.1,19.6
"200","MI.10",0.482,1,2.6,56539,89.1,21.5
"201","MI.11",0.491,1,8.1,64654,92.8,34.2
"202","MI.12",-0.341,0,19.2,47799,87.9,23
"203","MI.13",-0.455,0,59.2,31263,77.4,16.5
"204","MI.14",-0.588,0,60.5,35629,81.7,16.5
"205","MI.15",-0.395,0,13.5,52600,89.7,29.7
"206","MI.2",0.763,1,4.6,46597,88.3,21.5
"207","MI.3",0.773,1,8.6,49866,89,28
"208","MI.4",0.578,1,2.5,43578,88.8,20.2
"209","MI.5",-0.352,0,18.5,41735,87.6,18.4
"210","MI.6",0.577,1,8.9,44653,89.1,24.1
"211","MI.7",0.442,1,5.8,49387,90,22.2
"212","MI.8",0.62,1,5,58660,92.6,30.9
"213","MI.9",0.537,1,10.8,69771,92.6,46.8
"214","MN.1",0.831,1,2,50985,90.8,25.3
"215","MN.2",0.727,1,3.3,74073,94.1,36.9
"216","MN.3",0.83,1,7.6,74323,94.6,44.3
"217","MN.4",-0.404,0,9.3,53501,90.4,36.6
"218","MN.5",-0.512,0,14.8,50018,89.8,40.6
"219","MN.6",0.759,1,2,69664,94,30.5
"220","MN.7",-0.155,0,0.8,46732,88.8,20
"221","MN.8",-0.507,0,0.9,46953,91.2,20.7
"222","MO.1",-0.47,0,54.6,40438,85.3,26.1
"223","MO.2",0.782,1,3.1,73380,93.4,42.7
"224","MO.3",-0.306,0,9.5,50958,87.3,29.1
"225","MO.4",-0.179,0,3.4,42727,86,18.2
"226","MO.5",-0.405,0,25.4,44929,86.7,26.9
"227","MO.6",0.644,1,3.5,52026,90.1,24.3
"228","MO.7",0.631,1,1.6,41038,86.4,21.6
"229","MO.8",0.395,1,5,35231,78.5,15.6
"230","MO.9",0.55,1,4,44694,87.1,25.2
"231","MS.1",0.501,1,26.9,39351,80.6,17.1
"232","MS.2",-0.459,0,66.3,30914,77.6,18.8
"233","MS.3",0.469,1,34.8,39065,82.6,23
"234","MS.4",-0.113,0,23.1,41657,82.7,19
"235","MT.0",0.51,1,0.4,43872,91.7,28.8
"236","NC.1",-0.335,0,49.4,32876,77.1,13.4
"237","NC.10",0.793,1,8.7,41955,82.2,18.5
"238","NC.11",0.586,1,4.2,41164,86.9,25.5
"239","NC.12",-0.486,0,44.6,39776,81.4,23.3
"240","NC.13",-0.321,0,28.2,46173,85.8,29.9
"241","NC.2",-0.256,0,28.6,43203,83.2,18.8
"242","NC.3",0.203,1,16.9,46325,87.1,23.2
"243","NC.4",-0.345,0,19.1,65478,92.1,51.6
"244","NC.5",0.746,1,7.7,43896,83.6,23.5
"245","NC.6",0.699,1,10,49659,85.2,25.7
"246","NC.7",-0.114,0,21,41033,82.2,22.9
"247","NC.8",0.477,1,28,42819,81,20.1
"248","NC.9",0.762,1,14.3,62942,90.5,39.3
"249","ND.0",-0.23,0,1.1,46781,90.3,27.6
"250","NE.1",0.558,1,1.9,50653,91,28.2
"251","NE.2",0.709,1,10,54129,90.8,36.2
"252","NE.3",0.466,1,0.7,43458,89.1,20.9
"253","NH.1",0.687,1,1.3,64696,91.7,32.9
"254","NH.2",0.675,1,0.9,61699,91.3,32.6
"255","NJ.1",-0.292,0,17.5,60729,86.9,25.5
"256","NJ.10",-0.558,0,57.7,46974,81.8,22.5
"257","NJ.11",0.561,1,2.9,98847,93.9,48.9
"258","NJ.12",-0.436,0,11.6,88041,92.4,48.9
"259","NJ.13",-0.342,0,12.8,50412,76.5,29.7
"260","NJ.2",0.507,1,13.8,57000,85.5,22.5
"261","NJ.3",0.386,1,9.2,72086,91.5,33.6
"262","NJ.4",0.309,1,8.6,67448,89.8,29.4
"263","NJ.5",0.902,1,1.9,92206,93.3,44
"264","NJ.6",-0.438,0,15.5,69429,87.6,35.9
"265","NJ.7",0.498,1,5.3,95303,91.9,47.7
"266","NJ.8",-0.339,0,13.7,61445,84.8,33.9
"267","NJ.9",-0.319,0,7.6,66135,87.6,35.5
"268","NM.1",0.454,1,2.7,46532,86,30.4
"269","NM.2",0.662,1,1.7,38263,79.6,18.8
"270","NM.3",-0.423,0,1.5,46713,84.1,25.3
"271","NV.1",-0.269,0,13.7,49754,78.5,16.6
"272","NV.2",0.776,1,2.7,54521,86.6,22
"273","NV.3",0.44,1,7.5,61693,87.5,25
"274","NY.1",-0.315,0,4.5,82115,91.8,34
"275","NY.10",-0.462,0,61.8,41298,80.7,25.1
"276","NY.11",-0.506,0,56.3,46276,82.8,32.2
"277","NY.12",-0.515,0,9.5,42136,69.8,28.6
"278","NY.13",0.757,1,7.3,63222,83.8,29
"279","NY.14",-0.356,0,4.4,78093,91.5,64.1
"280","NY.15",-0.428,0,31.8,37613,75.1,37.4
"281","NY.16",-0.47,0,33.5,23797,60.5,9.6
"282","NY.17",-0.36,0,32.8,55241,83.7,31.4
"283","NY.18",-0.341,0,10.1,86560,87.7,48.6
"284","NY.19",0.478,1,6.1,82367,90,37.2
"285","NY.2",-0.274,0,10.9,89849,88.4,33.9
"286","NY.20",0.466,1,2.4,58046,90.1,29.2
"287","NY.21",-0.414,0,9,52583,88.7,30.6
"288","NY.22",-0.547,0,9.1,50609,85.7,27.1
"289","NY.23",0.36,1,2.7,45130,86.5,20.6
"290","NY.24",0.29,1,3.7,46834,87,22.2
"291","NY.25",0.392,1,8.3,52785,89.8,32.3
"292","NY.26",0.567,1,3.8,55515,91.1,30.8
"293","NY.27",-0.26,0,5.6,45221,87.9,24.5
"294","NY.28",-0.479,0,30,37829,85.8,25.6
"295","NY.29",0.464,1,3.3,51315,90.7,30.9
"296","NY.3",0.433,1,2.7,92884,92.4,37.2
"297","NY.4",-0.25,0,19.5,85778,85.4,36.1
"298","NY.5",-0.356,0,4.6,63726,81.3,37.2
"299","NY.6",-0.385,0,52.2,57247,79.2,22.6
"300","NY.7",-0.364,0,18,47110,76.7,24.1
"301","NY.8",-0.493,0,5.1,64921,86.4,54.7
"302","NY.9",-0.381,0,4.9,57930,86.6,37.6
"303","OH.1",0.834,1,30.2,42472,86.8,23.8
"304","OH.10",-0.598,0,7.7,46246,87.6,27
"305","OH.11",-0.472,0,59.5,35280,85.5,27
"306","OH.12",0.661,1,22.3,57431,91.3,37.5
"307","OH.13",-0.472,0,12.4,50919,90.5,27.2
"308","OH.14",0.395,1,3.4,58719,90.2,29.9
"309","OH.15",0.578,1,8.9,50725,89.7,35.2
"310","OH.16",0.399,1,4.8,48419,89.6,22.5
"311","OH.17",-0.37,0,12.2,41231,88,19
"312","OH.18",0.425,1,1.7,40524,82.9,14.1
"313","OH.2",0.617666666666667,1,4.5,57370,88.4,34.3
"314","OH.3",0.482,1,16.7,47666,87.9,24.5
"315","OH.4",0.496,1,4.9,45799,86.9,15.8
"316","OH.5",0.398,1,1.3,48109,89.2,17.5
"317","OH.6",-0.401,0,2.5,39527,86.6,17.5
"318","OH.7",0.527,1,9.8,49920,88,21.9
"319","OH.8",0.682,1,6,50417,87.6,22.6
"320","OH.9",-0.357,0,15.2,44664,89,22.8
"321","OK.1",0.714,1,9,47185,88.5,27.4
"322","OK.2",-0.071,0,3.8,36873,83.1,15.1
"323","OK.3",0.483,1,3.5,42788,86.2,22
"324","OK.4",0.558,1,6.4,46871,88,22.7
"325","OK.5",0.659,1,13.5,41928,85.3,27.3
"326","OR.1",-0.361,0,1.5,57999,90.7,37.2
"327","OR.2",0.57,1,0.4,44768,88.2,21.8
"328","OR.3",-0.435,0,5.3,50645,87.9,31.6
"329","OR.4",-0.465,0,0.7,42238,89.2,24.3
"330","OR.5",-0.276,0,0.9,51843,87.6,28.6
"331","PA.1",-0.435,0,48.8,32752,74.4,17.2
"332","PA.10",0.488,1,2.4,45286,88.1,20
"333","PA.11",-0.29,0,5.6,44271,88,21.2
"334","PA.12",-0.214,0,3.8,39187,87.3,17.5
"335","PA.13",-0.283,0,9.6,60525,89.1,33.4
"336","PA.14",-0.32,0,23.6,36698,89.9,27.5
"337","PA.15",0.49,1,5,57030,87.5,27.4
"338","PA.16",0.761,1,4.8,55640,83.4,26.8
"339","PA.17",-0.219,0,8.1,51139,87.6,20.9
"340","PA.18",0.365,1,2.8,56491,93.8,34.9
"341","PA.19",0.517,1,4.2,58036,89.7,25.1
"342","PA.2",-0.426,0,59.2,36188,84.7,31.3
"343","PA.3",0.537,1,3.9,43707,89.8,21.2
"344","PA.4",0.622,1,3.5,55977,92.6,33.8
"345","PA.5",0.495,1,1.8,41214,88.6,19.7
"346","PA.6",0.446,1,7.3,70541,91.2,40.8
"347","PA.7",0.354,1,9,71241,93.2,42.3
"348","PA.8",0.558,1,3.9,74012,93.3,34.8
"349","PA.9",0.545,1,2,44639,86.3,16.7
"350","RI.1",-0.379,0,7.1,53111,84.1,31.4
"351","RI.2",-0.34,0,4.7,56789,83,29.1
"352","SC.1",0.544,1,20.2,49537,88.9,30.2
"353","SC.2",0.757,1,27.1,51842,88.2,32.7
"354","SC.3",0.846,1,19.6,41260,81.1,20
"355","SC.4",0.718,1,19.3,44576,83.9,26
"356","SC.5",-0.258,0,31,40787,81.5,18.7
"357","SC.6",-0.409,0,54.6,33925,79,17
"358","SD.0",-0.174,0,1.1,46369,89.6,26.3
"359","TN.1",0.599,1,2.2,37116,80,18.8
"360","TN.2",0.943,1,6.4,45735,86.7,27.1
"361","TN.3",0.626,1,11.3,41457,82.4,21.1
"362","TN.4",-0.165,0,3.8,37962,79.3,14.9
"363","TN.5",-0.228,0,25,46532,84.4,31.4
"364","TN.6",-0.152,0,7.5,46850,83.7,19.5
"365","TN.7",0.814,1,13.9,61949,89.9,34.3
"366","TN.8",-0.206,0,23.5,38170,82.2,15.5
"367","TN.9",-0.281,0,62.8,37369,83.5,24.1
"368","TX.1",0.607,1,17.9,42089,81.6,18.9
"369","TX.10",0.628,1,11,62488,87.4,34.6
"370","TX.11",0.677,1,4,44799,78.9,17.6
"371","TX.12",0.575,1,6.3,53652,82.8,25
"372","TX.13",0.701,1,6,44056,81.6,20
"373","TX.14",1.168,1,9.1,56895,84.3,25.5
"374","TX.15",-0.298,0,1.6,34084,66.9,15.1
"375","TX.16",-0.284,0,3.1,36512,73.4,20.1
"376","TX.17",-0.197,0,9.9,44183,81.8,22.2
"377","TX.18",-0.423,0,37.8,37339,70.5,18.2
"378","TX.19",0.745,1,5.5,41522,79.4,21.6
"379","TX.2",0.729,1,21.3,57418,85.6,24.6
"380","TX.20",-0.304,0,7.3,37347,76,16.7
"381","TX.21",0.545,1,6.5,61067,91.6,40.4
"382","TX.22",0.628,1,14,71345,87.4,33.3
"383","TX.23",0.557,1,3.4,45765,75.5,23.4
"384","TX.24",0.669,1,13.8,60516,87.1,35.8
"385","TX.25",-0.402,0,8.1,48570,83,33.1
"386","TX.26",0.7,1,13.4,62323,87.1,33.2
"387","TX.27",-0.232,0,2.4,37549,71.4,17.5
"388","TX.28",-0.166,0,1.4,38938,66.7,16.2
"389","TX.29",-0.311,0,9.5,36936,55.7,7.1
"390","TX.3",0.725,1,11.4,68916,88.3,42.9
"391","TX.30",-0.443,0,41.3,37889,71.2,19.2
"392","TX.31",0.624,1,12.4,56373,89.5,27.9
"393","TX.32",0.754,1,7.9,50968,77.3,37.6
"394","TX.4",0.546,1,10.2,52182,85.3,23.6
"395","TX.5",0.925,1,14.2,48709,83,21
"396","TX.6",0.666,1,16.6,54518,84,25.2
"397","TX.7",0.643,1,9.4,70152,89.8,49.6
"398","TX.8",0.68,1,8,52424,83.6,21.9
"399","TX.9",-0.386,0,37.1,38091,71.9,20.4
"400","UT.1",0.678,1,1.4,55671,90.3,29
"401","UT.2",-0.111,0,0.8,56207,91.6,34.1
"402","UT.3",0.809,1,0.8,57161,89.9,24.7
"403","VA.1",0.571,1,19.8,68279,90.4,32.5
"404","VA.10",0.438,1,6.9,97597,90.4,48.6
"405","VA.11",0.671,1,11.2,105725,90.9,49.9
"406","VA.2",0.567,1,22,59120,90.9,29
"407","VA.3",-0.417,0,55.3,41976,82.2,21.7
"408","VA.4",0.594,1,33.8,59563,84.8,23.5
"409","VA.5",0.525,1,22.6,43198,80.4,22.6
"410","VA.6",0.681,1,11.2,46344,83.8,25.9
"411","VA.7",0.715,1,17.2,64751,88.2,37.5
"412","VA.8",-0.291,0,13.9,89439,89.9,59.1
"413","VA.9",-0.184,0,4,36843,77.7,16.9
"414","VT.0",-0.475,0,0.9,51841,91,33.6
"415","WA.1",-0.311,0,2.5,74263,94.1,41.2
"416","WA.2",-0.343,0,1.4,56471,90.2,26
"417","WA.3",-0.334,0,1.4,54285,90.2,23.4
"418","WA.4",0.551,1,1,46713,78.2,19.8
"419","WA.5",0.585,1,1.4,45171,91.7,26.7
"420","WA.6",-0.262,0,5.6,48472,89.3,24
"421","WA.7",-0.642,0,8,60144,91.6,52.1
"422","WA.8",0.501,1,2.8,82649,93.2,40.9
"423","WA.9",-0.253,0,7.9,56833,88.7,23.1
"424","WI.1",0.819,1,5.4,57440,90.2,25.2
"425","WI.2",-0.525,0,4.2,56739,92.6,38.1
